"stockCode","stockCode","empresa","razaoSocial","situacaoRegistro","situacaoEmissor","segmentoListagem","atividade","acao","dataCotacao","tipoAcao","ultimoFechamento","fatorCotacao","volumeFinanceiro","ultimoDemonstrativo","setor","subsetor","segmento","participacaoIndices","precoLucro","precoVpa","precoReceitaLiquida","precoFco","precoFcf","precoAtivoTotal","precoEbit","precoCapitalGiro","precoNcav","evEbit","evEbitda","evReceitaLiquida","evFco","evFcf","evAtivoTotal","marketCapEmpresa","enterpriseValue","dataDemonstracaoFinanceiraAtual","precoAtualAcao","dataPrecoAcao","dividendYield","receitaLiquida","resultadoBruto","ebit","depreciacaoAmortizacao","ebitda","lucroLiquido","lucroAcao","receitaLiquida","resultadoBruto","ebit","depreciacaoAmortizacao","ebitda","lucroLiquido","lucroAcao","menorPreco52Semanas","maiorPreco52Semanas","variacao2024","variacao1Ano","variacao2AnosTotal","variacao2AnosAnual","variacao3AnosTotal","variacao3AnosAnual","variacao4AnosTotal","variacao4AnosAnual","variacao5AnosTotal","variacao5AnosAnual","volumeDiarioMedio3Meses","retornoCapitalTangivelInicial","retornoCapitalInvestidoInicial","retornoCapitalTangivelInicialPreImpostos","retornoCapitalInvestidoInicialPreImpostos","retornoPatrimonioLiquidoInicial","retornoAtivoInicial","margemBruta","margemLiquida","margemEbit","margemEbitda","giroAtivoInicial","alavancagemFinanceira","passivoPatrimonioLiquido","dividaLiquidaEbitda","caixaEquivalentes","ativoTotal","dividaCurtoPrazo","dividaLongoPrazo","dividaBruta","dividaLiquida","patrimonioLiquido","valorPatrimonialAcao","acoesOrdinarias","acoesPreferenciais","totalAcoes","acoesOrdinariasTesouraria","acoesPreferenciaisTesouraria","totalAcoesTesouraria","acoesOrdinariasExTesouraria","acoesPreferenciaisExTesouraria","totalAcoesExTesouraria","fluxoCaixaOperacional","fluxoCaixaInvestimentos","fluxoCaixaFinanciamentos","aumentoReducaoCaixa","fluxoCaixaOperacional","fluxoCaixaInvestimentos","fluxoCaixaFinanciamentos","aumentoReducaoCaixa"
"HAPV3","HAPV3","HAPVIDA","HAPVIDA PARTICIPACOES E INVESTIMENTOS SA","ATIVO","FASE OPERACIONAL","Novo Mercado","Participação. como sócia ou acionista. em outras empresas. predominantemente de assistência médica. bem como a realização de investimentos diretos e a exploração de atividades de prestação de serviços","HAPV3","29/05/2024","ON","R$ 4,15","1 ação","R$ 226,46 M","ITR - 31/03/2024","Saúde","Serv.Méd.Hospit..Análises e Diagnósticos","Serv.Méd.Hospit..Análises e Diagnósticos","IBOVESPA, IBRA, IBRX, IBRX50, ICON, IGC, IGCT, IGNM, ITAG, MLCX","-68,01","0,64","1,12","12,11","12,71","0,43","19,92","11,83","-1,49","26,36","20,07","1,48","16,02","16,82","0,57","R$ 31,29 B","R$ 41,40 B","31/03/2024","R$ 4,15","29/05/2024","0,00%","R$ 27,98 B","R$ 3,49 B","R$ 1,57 B","- R$ 492,06 M","R$ 2,06 B","- R$ 460,08 M","- R$ 0,06","R$ 1,32 B","R$ 993,70 M","R$ 498,97 M","- R$ 105,89 M","R$ 604,86 M","R$ 59,31 M","R$ 0,01","R$ 3,39","R$ 5,26","-3,26%","2,22%","-40,46%","-22,84%","-73,92%","-36,05%","-61,92%","-21,43%","-42,20%","-10,38%","R$ 248,67 M","6,91%","1,73%","10,46%","2,62%","-0,95%","-0,63%","12,48%","-1,64%","5,61%","7,37%","0,38","1,48","0,48","4,90","R$ 826,58 M","R$ 72,78 B","R$ 1,48 B","R$ 9,45 B","R$ 10,93 B","R$ 10,11 B","R$ 49,17 B","R$ 6,52","7.539.463.263","0","7.539.463.263","45.215.560","0","45.215.560","7.494.247.703","0","7.494.247.703","R$ 2,58 B","- R$ 120,94 M","- R$ 1,97 B","R$ 493,92 M","R$ 924,39 M","- R$ 412,57 M","- R$ 1,10 B","- R$ 588,68 M"
"PETR4","PETR4","PETROBRAS","PETROLEO BRASILEIRO S.A. PETROBRAS","ATIVO","FASE OPERACIONAL","Nível 2 de Governança Corporativa","Pesquisa. lavra. refinação. processamento. comércio e transporte de petróleo. de seus derivados. de gás natural e de outros hidrocarbonetos fluidos. além das atividades vinculadas à energia.","PETR4","29/05/2024","PN","R$ 37,75","1 ação","R$ 1,10 B","ITR - 31/03/2024","Petróleo. Gás e Biocombustíveis","Petróleo. Gás e Biocombustíveis","Exploração. Refino e Distribuição","IBOVESPA, IBRA, IBRX, IBRX50, ICO2, IDIV, IGC, IGCT, ITAG, MLCX","4,47","1,21","1,00","2,36","3,36","0,46","2,84","40,74","-0,76","4,37","3,02","1,54","3,63","5,16","0,71","R$ 505,23 B","R$ 756,50 B","31/03/2024","R$ 37,75","29/05/2024","14,64%","R$ 490,65 B","R$ 257,32 B","R$ 173,17 B","- R$ 77,48 B","R$ 250,65 B","R$ 110,15 B","R$ 8,44","R$ 117,72 B","R$ 60,70 B","R$ 44,03 B","- R$ 16,65 B","R$ 60,68 B","R$ 23,70 B","R$ 1,82","R$ 22,18","R$ 42,18","2,67%","68,45%","129,32%","51,43%","267,29%","54,17%","403,78%","49,78%","303,02%","32,13%","R$ 1,72 B","13,74%","18,41%","20,82%","27,89%","27,39%","11,26%","52,45%","22,45%","35,29%","51,09%","0,50","2,62","1,62","1,00","R$ 57,69 B","R$ 1,07 T","R$ 61,80 B","R$ 247,16 B","R$ 308,96 B","R$ 251,27 B","R$ 407,64 B","R$ 31,25","7.442.454.142","5.602.042.788","13.044.496.930","222.760","134.986.509","135.209.269","7.442.231.382","5.467.056.279","12.909.287.661","R$ 208,42 B","- R$ 50,20 B","- R$ 152,76 B","R$ 5,41 B","R$ 46,48 B","- R$ 16,44 B","- R$ 35,58 B","- R$ 3,92 B"
"ABEV3","ABEV3","AMBEV S/A","AMBEV S.A.","ATIVO","FASE OPERACIONAL","Tradicional - BOVESPA","Fabricação e distribuição de cervejas. refrigerantes e bebidas não carbonatadas e não alcoólicas.","ABEV3","29/05/2024","ON","R$ 11,52","1 ação","R$ 393,75 M","ITR - 31/03/2024","Consumo não Cíclico","Bebidas","Cervejas e Refrigerantes","AGFS, GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, ICON, INDX, ISE, MLCX","12,52","2,10","2,28","6,98","8,94","1,36","9,73","-766,55","-3,82","9,25","6,96","2,17","6,63","8,50","1,29","R$ 181,53 B","R$ 172,50 B","31/03/2024","R$ 11,52","29/05/2024","6,34%","R$ 79,48 B","R$ 40,26 B","R$ 18,65 B","- R$ 6,13 B","R$ 24,78 B","R$ 14,50 B","R$ 0,92","R$ 20,28 B","R$ 10,22 B","R$ 4,88 B","- R$ 1,57 B","R$ 6,45 B","R$ 3,70 B","R$ 0,23","R$ 11,52","R$ 14,78","-15,97%","-16,28%","-9,43%","-4,83%","-25,74%","-9,43%","9,54%","2,30%","-19,51%","-4,24%","R$ 337,48 M","31,30%","16,08%","47,43%","24,36%","17,06%","10,71%","50,66%","18,25%","23,47%","31,17%","0,59","1,55","0,55","-0,36","R$ 12,84 B","R$ 133,82 B","R$ 1,65 B","R$ 2,17 B","R$ 3,82 B","- R$ 9,03 B","R$ 86,59 B","R$ 5,50","15.757.657.000","0","15.757.657.000","10.013.000","0","10.013.000","15.747.644.000","0","15.747.644.000","R$ 26,01 B","- R$ 6,46 B","- R$ 17,40 B","R$ 787,53 M","R$ 718,20 M","- R$ 1,78 B","- R$ 2,30 B","- R$ 3,21 B"
"COGN3","COGN3","COGNA ON","COGNA EDUCAÇÃO S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","A Companhia tem por objeto a participação. como sócia ou acionista. em sociedades que explorem a administração de atividades de educação.","COGN3","29/05/2024","ON","R$ 1,90","1 ação","R$ 50,28 M","ITR - 31/03/2024","Consumo Cíclico","Diversos","Serviços Educacionais","IBOVESPA, IBRA, IBRX, ICO2, ICON, IGC, IGCT, IGNM, ISE, ITAG, IVBX, SMLL","-6,42","0,31","0,59","4,48","5,40","0,14","5,04","2,99","-0,29","15,46","7,94","1,81","13,74","16,56","0,44","R$ 3,57 B","R$ 10,93 B","31/03/2024","R$ 1,90","29/05/2024","0,00%","R$ 6,03 B","R$ 3,92 B","R$ 707,13 M","- R$ 668,99 M","R$ 1,38 B","- R$ 555,78 M","- R$ 0,30","R$ 1,52 B","R$ 1,04 B","R$ 230,54 M","- R$ 166,18 M","R$ 396,72 M","- R$ 8,51 M","- R$ 0,00","R$ 1,90","R$ 3,52","-43,45%","-33,57%","-29,10%","-15,80%","-55,40%","-23,56%","-63,88%","-22,46%","-","-","R$ 69,92 M","5,59%","2,40%","8,47%","3,63%","-4,55%","-2,15%","65,05%","-9,22%","11,73%","22,83%","0,23","2,15","1,15","5,35","R$ 414,80 M","R$ 25,05 B","R$ 1,58 B","R$ 6,20 B","R$ 7,78 B","R$ 7,36 B","R$ 11,65 B","R$ 6,21","1.876.606.210","0","1.876.606.210","4.650.087","0","4.650.087","1.871.956.123","0","1.871.956.123","R$ 795,20 M","- R$ 642,58 M","- R$ 148,26 M","R$ 4,37 M","R$ 128,67 M","- R$ 268,35 M","- R$ 70,00 M","- R$ 209,68 M"
"B3SA3","B3SA3","B3","B3 S.A. - BRASIL. BOLSA. BALCÃO","ATIVO","FASE OPERACIONAL","Novo Mercado","Principais atividades: administrar mercados organizados de títulos e valores mobiliários; prestar serviços de registro. compensação e liquidação e de suporte à operações de financiamento","B3SA3","29/05/2024","ON","R$ 10,88","1 ação","R$ 678,56 M","ITR - 31/03/2024","Financeiro","Serviços Financeiros Diversos","Serviços Financeiros Diversos","GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, IFNC, IGC, IGCT, IGNM, ISE, ITAG, MLCX","15,12","3,04","6,08","15,34","15,59","1,25","11,79","6,78","-3,09","14,22","11,69","7,33","18,50","18,80","1,51","R$ 60,35 B","R$ 72,77 B","31/03/2024","R$ 10,88","29/05/2024","4,05%","R$ 9,93 B","R$ 8,94 B","R$ 5,12 B","- R$ 1,11 B","R$ 6,23 B","R$ 3,99 B","R$ 0,71","R$ 2,47 B","R$ 2,22 B","R$ 1,22 B","- R$ 279,91 M","R$ 1,50 B","R$ 949,58 M","R$ 0,17","R$ 10,79","R$ 14,80","-22,47%","-15,75%","-9,12%","-4,67%","-29,54%","-10,99%","-15,09%","-4,00%","9,63%","1,85%","R$ 505,25 M","29,99%","11,15%","45,45%","16,89%","19,43%","8,72%","90,08%","40,21%","51,54%","62,72%","0,22","2,43","1,43","2,00","R$ 1,66 B","R$ 48,28 B","R$ 2,38 B","R$ 11,71 B","R$ 14,09 B","R$ 12,43 B","R$ 19,88 B","R$ 3,52","5.646.500.000","0","5.646.500.000","75.056.488","0","75.056.488","5.571.443.512","0","5.571.443.512","R$ 3,93 B","- R$ 771,11 M","- R$ 3,18 B","- R$ 4,36 M","R$ 1,53 B","- R$ 25,67 M","- R$ 1,48 B","R$ 41,83 M"
"LREN3","LREN3","LOJAS RENNER","LOJAS RENNER S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Loja de Departamentos (Comércio Varejista)","LREN3","29/05/2024","ON","R$ 13,36","1 ação","R$ 322,53 M","ITR - 31/03/2024","Consumo Cíclico","Comércio","Tecidos. Vestuário e Calçados","IBOVESPA, IBRA, IBRX, IBRX50, ICO2, ICON, IGC, IGCT, IGNM, ISE, ITAG, IVBX, MLCX","12,04","1,27","0,93","4,22","5,92","0,68","12,97","3,02","-2,75","12,42","5,79","0,89","4,04","5,66","0,65","R$ 12,87 B","R$ 12,32 B","31/03/2024","R$ 13,36","29/05/2024","5,10%","R$ 13,78 B","R$ 8,29 B","R$ 991,95 M","- R$ 1,14 B","R$ 2,13 B","R$ 1,07 B","R$ 1,11","R$ 2,91 B","R$ 1,77 B","R$ 76,21 M","- R$ 307,31 M","R$ 383,52 M","R$ 139,25 M","R$ 0,14","R$ 11,71","R$ 21,88","-21,62%","-27,88%","-44,34%","-25,40%","-66,04%","-30,19%","-57,88%","-19,43%","-62,79%","-17,93%","R$ 245,12 M","6,28%","6,65%","9,52%","10,07%","11,06%","5,43%","60,14%","7,76%","7,20%","15,45%","0,70","1,89","0,89","-0,26","R$ 1,97 B","R$ 19,05 B","R$ 1,07 B","R$ 348,96 M","R$ 1,41 B","- R$ 551,30 M","R$ 10,10 B","R$ 10,49","963.227.000","0","963.227.000","7.107.000","0","7.107.000","956.120.000","0","956.120.000","R$ 3,05 B","- R$ 872,64 M","- R$ 2,35 B","- R$ 243,93 M","R$ 493,07 M","- R$ 72,08 M","- R$ 991,47 M","- R$ 566,31 M"
"BBAS3","BBAS3","BRASIL","BCO BRASIL S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Banco Múltiplo","BBAS3","29/05/2024","ON","R$ 27,32","1 ação","R$ 698,11 M","ITR - 31/03/2024","Financeiro","Intermediários Financeiros","Bancos","IBOVESPA, IBRA, IBRX, IBRX50, ICO2, IDIV, IFNC, IGC, IGCT, IGNM, ISE, ITAG, MLCX","5,02","0,90","0,54","1,95","","0,07","","","","","","","","","","R$ 156,57 B","","31/03/2024","R$ 27,32","29/05/2024","8,52%","","","","","","R$ 31,20 B","","","","","","","R$ 8,03 B","","R$ 20,35","R$ 29,26","1,95%","34,01%","82,73%","35,18%","114,81%","28,97%","147,62%","25,42%","53,48%","8,94%","R$ 466,24 M","","","","","19,11%","1,49%","32,00%","10,71%","","","0,14","13,07","12,07","","","R$ 2,28 T","","","","","R$ 174,75 B","R$ 60,99","2.865.417.020","0","2.865.417.020","11.446.282","0","11.446.282","2.853.970.738","0","2.853.970.738","R$ 80,19 B","- R$ 19,99 B","- R$ 27,17 B","R$ 19,93 B","R$ 52,89 B","- R$ 28,63 B","- R$ 5,16 B","R$ 20,08 B"
"CIEL3","CIEL3","CIELO","CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO","ATIVO","FASE OPERACIONAL","Novo Mercado","Empresa prestadora de serviços de adquirência e meios de pagamento.","CIEL3","29/05/2024","ON","R$ 5,59","1 ação","R$ 91,22 M","ITR - 31/03/2024","Financeiro","Serviços Financeiros Diversos","Serviços Financeiros Diversos","GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, IDIV, IFNC, IGC, IGCT, IGNM, ISE, ITAG, IVBX, SMLL","7,06","1,25","1,43","2,66","2,95","0,15","4,64","1,21","-0,19","5,55","4,35","1,72","3,18","3,54","0,18","R$ 15,19 B","R$ 18,19 B","31/03/2024","R$ 5,59","29/05/2024","6,48%","R$ 10,59 B","R$ 4,98 B","R$ 3,27 B","- R$ 902,06 M","R$ 4,18 B","R$ 2,15 B","R$ 0,79","R$ 2,56 B","R$ 1,15 B","R$ 528,78 M","- R$ 219,68 M","R$ 748,46 M","R$ 503,33 M","R$ 0,19","R$ 3,08","R$ 5,60","26,78%","27,03%","63,24%","27,77%","64,01%","17,90%","71,90%","14,49%","7,07%","1,38%","R$ 95,88 M","11,79%","14,14%","17,87%","21,42%","19,19%","2,15%","47,03%","20,29%","30,91%","39,42%","0,11","8,45","7,45","0,72","R$ 1,09 B","R$ 102,99 B","R$ 1,09 B","R$ 3,00 B","R$ 4,09 B","R$ 3,00 B","R$ 12,19 B","R$ 4,49","2.716.815.061","0","2.716.815.061","14.192.687","0","14.192.687","2.702.622.374","0","2.702.622.374","R$ 5,71 B","- R$ 570,32 M","- R$ 6,40 B","- R$ 1,26 B","R$ 5,98 B","- R$ 157,76 M","- R$ 5,98 B","- R$ 166,68 M"
"BBDC4","BBDC4","BRADESCO","BCO BRADESCO S.A.","ATIVO","FASE OPERACIONAL","Nível 1 de Governança Corporativa","Prática de operações bancárias em geral. inclusive câmbio","BBDC4","29/05/2024","PN","R$ 12,79","1 ação","R$ 376,81 M","ITR - 31/03/2024","Financeiro","Intermediários Financeiros","Bancos","GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, IDIV, IFNC, IGC, IGCT, ISE, ITAG, MLCX","10,49","0,82","0,55","-38,85","","0,07","","","","","","","","","","R$ 129,24 B","","31/03/2024","R$ 12,79","29/05/2024","8,56%","","","","","","R$ 12,97 B","","","","","","","R$ 4,12 B","","R$ 12,79","R$ 17,00","-23,25%","-12,97%","-28,52%","-15,45%","-36,92%","-14,21%","-0,27%","-0,07%","-40,48%","-9,85%","R$ 412,30 M","","","","","7,98%","0,71%","27,18%","5,26%","","","0,13","11,79","10,79","","","R$ 1,96 T","","","","","R$ 165,86 B","R$ 15,59","5.330.305.000","5.311.865.000","10.642.170.000","-11.971.000","-10.589.000","-22.560.000","5.342.276.000","5.322.454.000","10.664.730.000","- R$ 3,50 B","R$ 34,87 B","- R$ 13,16 B","R$ 18,06 B","R$ 17,68 B","R$ 2,78 B","- R$ 1,06 B","R$ 19,22 B"
"ITUB4","ITUB4","ITAUUNIBANCO","ITAU UNIBANCO HOLDING S.A.","ATIVO","FASE OPERACIONAL","Nível 1 de Governança Corporativa","A sociedade tem por objeto a atividade bancária em todas as modalidades autorizadas. inclusive a de operações de câmbio.","ITUB4","29/05/2024","PN","R$ 31,35","1 ação","R$ 777,06 M","ITR - 31/03/2024","Financeiro","Intermediários Financeiros","Bancos","GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, IFNC, IGC, IGCT, ISE, ITAG, MLCX","8,64","1,66","0,97","3,82","","0,12","","","","","","","","","","R$ 286,83 B","","31/03/2024","R$ 31,35","29/05/2024","7,53%","","","","","","R$ 35,56 B","","","","","","","R$ 9,81 B","","R$ 24,47","R$ 34,60","-2,52%","27,10%","36,89%","17,00%","22,60%","7,02%","61,52%","12,72%","12,56%","2,39%","R$ 728,14 M","","","","","20,73%","1,49%","40,94%","11,20%","","","0,13","14,06","13,06","","","R$ 2,61 T","","","","","R$ 185,55 B","R$ 18,93","4.958.290.000","4.845.845.000","9.804.135.000","0","2.053.000","2.053.000","4.958.290.000","4.843.792.000","9.802.082.000","R$ 80,50 B","- R$ 25,75 B","- R$ 37,04 B","R$ 18,33 B","R$ 47,98 B","- R$ 6,52 B","- R$ 17,25 B","R$ 29,59 B"
